"","age","gender","country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","info_date","info_time"
"28",46,"male","united states","md","no","yes","yes","sometimes","100-500","-","yes","don't know","not sure","don't know","don't know","don't know","don't know","no","no","some of them","yes","yes","yes","don't know","no",2015-02-21,"10:45:51"
"29",41,"female","netherlands","na","yes","no","yes","rarely","44201","yes","yes","don't know","yes","don't know","yes","no","somewhat easy","no","no","yes","yes","yes","yes","yes","no",2015-02-21,"11:48:52"
"30",23,"male","united kingdom","na","no","no","no","never","26-100","no","yes","don't know","no","no","no","don't know","somewhat easy","maybe","no","some of them","some of them","no","maybe","yes","yes",2015-02-21,"11:55:46"
"31",24,"male","ireland","na","no","yes","yes","sometimes","more than 1000","no","yes","yes","yes","no","yes","don't know","somewhat easy","maybe","no","some of them","no","no","maybe","yes","yes",2015-02-21,"13:19:11"
"32",23,"female","ireland","na","no","no","yes","rarely","26-100","no","yes","no","yes","yes","no","don't know","don't know","no","no","yes","some of them","no","maybe","don't know","no",2015-02-21,"15:28:57"
"33",39,"male","netherlands","na","no","no","no","na","more than 1000","no","no","yes","not sure","yes","not sure","don't know","somewhat easy","maybe","maybe","no","some of them","no","no","yes","no",2015-02-21,"17:19:18"
"34",32,"female","ireland","na","no","yes","no","never","more than 1000","no","yes","yes","yes","don't know","yes","yes","don't know","maybe","no","some of them","some of them","no","no","don't know","no",2015-02-21,"18:54:12"
"35",25,"male","united states","mn","no","yes","yes","sometimes","26-100","no","yes","don't know","yes","no","no","don't know","somewhat easy","yes","no","some of them","some of them","no","maybe","don't know","no",2015-02-21,"18:59:05"
"36",39,"male","greece","na","no","no","no","na","44372","yes","yes","no","no","no","no","yes","don't know","yes","no","no","no","no","no","don't know","no",2015-02-22,"02:40:32"
"37",23,"female","united kingdom","na","no","yes","yes","sometimes","44372","no","yes","no","yes","no","yes","yes","very easy","no","no","yes","yes","maybe","maybe","yes","no",2015-02-24,"08:54:35"
"38",24,"male","united kingdom","na","yes","no","yes","sometimes","44372","yes","yes","no","no","no","no","don't know","don't know","maybe","maybe","some of them","some of them","no","maybe","don't know","yes",2015-02-24,"08:58:08"
"39",25,"male","united kingdom","na","no","yes","yes","sometimes","more than 1000","no","no","yes","yes","yes","yes","yes","very easy","no","no","yes","yes","yes","yes","yes","no",2015-02-24,"09:00:56"
"40",23,"male","united kingdom","na","no","no","yes","rarely","44372","no","yes","no","yes","no","no","don't know","don't know","no","no","yes","yes","no","maybe","don't know","no",2015-02-24,"09:13:49"
"41",24,"unknown","united kingdom","na","no","no","yes","sometimes","44372","no","no","don't know","no","no","don't know","don't know","don't know","yes","maybe","no","no","no","maybe","don't know","no",2015-02-24,"09:15:13"
"42",23,"male","canada","na","no","no","yes","often","26-100","no","yes","yes","yes","yes","don't know","don't know","don't know","maybe","no","yes","some of them","no","no","don't know","no",2015-02-24,"09:18:25"
"43",60,"male","united states","ca","no","no","yes","often","more than 1000","yes","yes","don't know","no","yes","don't know","don't know","somewhat easy","maybe","maybe","some of them","no","no","maybe","don't know","no",2015-02-24,"10:32:32"
"44",30,"male","netherlands","na","no","no","no","sometimes","500-1000","no","yes","don't know","no","no","no","don't know","don't know","maybe","no","yes","yes","maybe","yes","don't know","no",2015-04-04,"11:22:05"
"45",31,"male","germany","na","no","yes","yes","sometimes","100-500","no","yes","don't know","no","no","no","yes","somewhat easy","no","no","some of them","no","no","no","don't know","no",2015-04-06,"14:58:29"
"46",31,"male","poland","na","yes","no","yes","often","44372","yes","yes","no","no","no","no","don't know","somewhat easy","maybe","no","some of them","no","no","no","don't know","no",2015-04-11,"14:35:22"
"47",28,"male","ireland","na","no","no","yes","rarely","26-100","no","yes","don't know","no","no","don't know","don't know","don't know","maybe","no","no","no","no","maybe","don't know","no",2015-04-23,"14:03:51"
"48",43,"female","united states","fl","no","yes","yes","rarely","more than 1000","yes","yes","yes","yes","no","yes","don't know","don't know","no","no","some of them","yes","no","no","don't know","no",2015-05-05,"14:22:18"
"49",32,"female","united kingdom","na","no","no","no","na","more than 1000","no","no","no","no","no","don't know","don't know","don't know","maybe","no","some of them","yes","no","yes","no","no",2015-05-05,"15:16:25"
"50",22,"male","australia","na","no","yes","yes","often","100-500","no","no","yes","yes","yes","yes","yes","don't know","maybe","maybe","no","yes","no","maybe","don't know","yes",2015-05-06,"10:14:50"
"51",32,"male","united states","or","no","no","no","never","100-500","no","yes","yes","not sure","don't know","yes","don't know","somewhat easy","no","no","no","some of them","maybe","yes","don't know","no",2015-05-06,"16:55:58"
"52",36,"male","finland","na","no","no","yes","often","44372","no","yes","no","no","no","no","no","very difficult","yes","no","some of them","no","no","maybe","don't know","yes",1905-07-07,"00:00:00"
"53",41,"female","united states","wa","no","yes","yes","sometimes","26-100","no","yes","yes","no","no","don't know","don't know","don't know","yes","maybe","2","no","no","no","don't know","no",2015-06-25,"12:24:31"
"54",30,"male","united states","ca","no","yes","-","sometimes","26-100","no","yes","yes","yes","don't know","no","yes","very easy","no","no","yes","yes","maybe","maybe","yes","no",2015-07-22,"18:57:54"
"55",30,"male","united states","ca","yes","yes","yes","often","26-100","no","yes","yes","not sure","yes","yes","don't know","don't know","no","no","some of them","yes","maybe","maybe","yes","no",2015-07-27,"23:25:34"
"56",36,"male","south africa","na","no","yes","yes","often","100-500","no","no","no","yes","no","no","don't know","somewhat easy","no","no","some of them","yes","no","yes","yes","no",2015-08-17,"09:38:35"
"57",29,"male","united states","nc","no","yes","yes","sometimes","100-500","yes","yes","yes","yes","yes","no","yes","don't know","yes","no","3","no","no","maybe","no","no",2015-08-20,"16:52:09"
"58",36,"male","united states","ut","no","yes","no","rarely","more than 1000","no","no","don't know","no","yes","yes","don't know","somewhat easy","maybe","maybe","some of them","some of them","no","no","don't know","no",2015-08-25,"19:59:38"
"59",32,"male","united states","il","no","yes","yes","often","26-100","yes","yes","yes","yes","no","no","yes","somewhat difficult","no","no","some of them","yes","no","no","yes","no",2015-09-26,"01:07:35"
"60",34,"male","united states","ca","no","yes","na","sometimes","more than 1000","no","yes","yes","yes","no","no","don't know","somewhat difficult","yes","yes","2","no","no","no","no","no",2015-11-07,"12:36:58"
"61",46,"female","united states","nc","no","no","no","na","100-500","yes","yes","no","yes","no","no","don't know","don't know","yes","no","no","no","no","no","no","no",2015-11-30,"21:25:06"
"62",25,"male","united states","il","no","yes","yes","sometimes","26-100","no","no","yes","yes","no","no","yes","don't know","maybe","no","some of them","no","no","no","don't know","no",2016-02-01,"23:04:31"
"63",11,"male","united states","oh","yes","no","no","never","44201","yes","yes","no","yes","no","no","yes","very easy","no","no","some of them","some of them","no","maybe","yes","no",1970-01-01,"11:38:00"
"64",18,"male","netherlands","na","no","no","no","often","44372","no","yes","no","not sure","no","no","don't know","somewhat difficult","yes","maybe","no","some of them","no","no","no","no",1970-01-01,"11:37:58"
"65",18,"male","russia","na","no","no","no","na","26-100","yes","yes","yes","yes","no","no","yes","somewhat easy","no","2","yes","yes","yes","yes","don't know","no",1970-01-01,"11:37:58"
"66",18,"male","united states","ct","no","no","yes","rarely","44201","yes","yes","no","no","no","no","yes","very easy","no","2","some of them","no","no","no","don't know","no",1970-01-01,"11:37:58"
"67",18,"male","united states","tx","no","no","yes","sometimes","44372","no","yes","don't know","no","no","don't know","don't know","don't know","yes","2","no","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"68",18,"male","united states","wa","no","no","no","never","26-100","no","yes","don't know","not sure","don't know","don't know","don't know","very easy","no","2","some of them","some of them","no","maybe","yes","no",1970-01-01,"11:37:58"
"69",18,"male","finland","na","no","no","no","na","500-1000","yes","no","don't know","no","no","don't know","don't know","very easy","yes","2","no","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"70",18,"female","united kingdom","na","no","yes","yes","sometimes","44201","yes","yes","don't know","not sure","don't know","don't know","don't know","don't know","maybe","maybe","some of them","some of them","maybe","maybe","don't know","no",1970-01-01,"11:37:58"
"71",19,"male","united kingdom","na","no","no","no","na","44201","no","yes","no","yes","no","no","no","somewhat difficult","yes","no","no","no","no","maybe","no","no",1970-01-01,"11:37:58"
"72",19,"male","slovenia","na","no","no","yes","sometimes","44372","no","yes","don't know","no","no","no","don't know","somewhat easy","yes","yes","some of them","no","no","no","don't know","no",1970-01-01,"11:37:58"
"73",19,"male","canada","na","yes","yes","no","na","44201","yes","yes","don't know","not sure","no","yes","yes","somewhat easy","maybe","no","some of them","some of them","maybe","maybe","don't know","no",1970-01-01,"11:37:58"
"74",19,"male","canada","na","no","yes","yes","sometimes","44201","no","yes","no","no","no","no","don't know","don't know","maybe","maybe","some of them","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"75",19,"unknown","united states","mo","no","yes","yes","often","26-100","no","no","don't know","not sure","no","no","don't know","somewhat difficult","maybe","maybe","no","no","no","maybe","no","no",1970-01-01,"11:37:59"
"76",19,"male","canada","na","no","no","yes","sometimes","26-100","no","yes","don't know","not sure","no","no","don't know","somewhat difficult","no","no","some of them","yes","no","yes","don't know","no",1970-01-01,"11:37:59"
"77",19,"male","united kingdom","na","no","no","no","na","44372","no","yes","yes","no","no","yes","don't know","very easy","no","no","yes","yes","no","no","yes","no",1970-01-01,"11:38:00"
"78",19,"male","canada","na","no","no","no","never","26-100","yes","yes","don't know","no","no","no","don't know","somewhat easy","no","no","some of them","some of them","no","maybe","no","no",1970-01-01,"11:38:00"
"79",19,"male","united states","in","no","no","no","sometimes","44201","no","yes","don't know","not sure","no","no","don't know","don't know","no","no","some of them","yes","maybe","maybe","don't know","no",1970-01-01,"11:38:00"
"80",20,"male","australia","na","no","no","no","na","100-500","yes","yes","don't know","not sure","don't know","don't know","yes","very easy","no","no","some of them","yes","no","no","don't know","no",1970-01-01,"11:37:58"
"81",20,"female","switzerland","na","no","no","no","rarely","more than 1000","no","yes","yes","yes","yes","yes","yes","somewhat easy","no","no","some of them","some of them","no","maybe","yes","no",1970-01-01,"11:37:59"
"82",20,"male","united states","wa","no","no","no","never","26-100","no","yes","don't know","not sure","don't know","don't know","don't know","don't know","no","no","some of them","yes","maybe","maybe","yes","no",1970-01-01,"11:37:59"
"83",20,"male","india","na","no","no","yes","sometimes","26-100","no","yes","don't know","no","no","no","don't know","don't know","yes","no","no","no","no","maybe","yes","no",1970-01-01,"11:38:00"
"84",20,"female","united states","ny","no","no","yes","sometimes","26-100","yes","yes","don't know","not sure","don't know","don't know","don't know","don't know","no","no","some of them","some of them","maybe","maybe","don't know","no",1970-01-01,"11:38:01"
"85",20,"male","georgia","na","no","no","no","rarely","26-100","no","no","no","no","no","no","don't know","very difficult","yes","yes","some of them","no","no","maybe","no","no",1970-01-01,"11:38:16"
"86",21,"male","united kingdom","na","yes","no","no","often","44201","yes","no","no","yes","no","no","yes","very difficult","yes","no","some of them","yes","no","maybe","no","no",1970-01-01,"11:37:58"
"87",21,"male","canada","na","no","no","yes","sometimes","44372","yes","yes","no","yes","no","no","don't know","somewhat difficult","no","no","some of them","some of them","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"88",21,"male","united states","ky","no","no","yes","often","44372","no","no","don't know","no","no","don't know","don't know","don't know","maybe","no","no","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"89",21,"male","united states","in","no","yes","yes","rarely","100-500","no","yes","yes","no","no","don't know","yes","don't know","no","no","yes","yes","maybe","maybe","don't know","no",1970-01-01,"11:37:58"
"90",21,"male","united kingdom","na","no","no","yes","sometimes","44372","no","no","don't know","not sure","no","no","no","very easy","yes","no","some of them","no","no","maybe","no","no",1970-01-01,"11:37:58"
"91",21,"female","united states","ca","no","yes","yes","rarely","26-100","no","yes","don't know","not sure","don't know","no","don't know","somewhat easy","yes","no","some of them","no","no","yes","don't know","no",1970-01-01,"11:37:58"
"92",21,"male","united states","ma","no","yes","no","never","more than 1000","no","yes","don't know","not sure","don't know","don't know","don't know","don't know","no","no","some of them","some of them","no","maybe","don't know","yes",1970-01-01,"11:37:58"
"93",21,"male","united states","ca","no","no","no","sometimes","44372","no","no","don't know","not sure","no","yes","yes","don't know","no","no","some of them","some of them","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"94",21,"male","canada","na","no","no","no","never","26-100","no","yes","don't know","not sure","don't know","no","don't know","don't know","yes","maybe","no","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"95",21,"male","united states","ca","no","yes","no","na","more than 1000","no","yes","yes","yes","yes","yes","yes","don't know","no","no","some of them","yes","no","maybe","yes","no",1970-01-01,"11:37:58"
"96",21,"unknown","united kingdom","na","no","no","yes","sometimes","26-100","no","yes","no","yes","yes","no","yes","somewhat easy","maybe","no","some of them","some of them","no","no","yes","no",1970-01-01,"11:37:58"
"97",21,"female","united kingdom","na","no","no","no","na","44372","no","yes","no","no","no","no","don't know","don't know","yes","maybe","some of them","no","no","no","don't know","no",1970-01-01,"11:37:59"
"98",21,"male","germany","na","no","no","no","rarely","44372","yes","yes","don't know","no","no","no","don't know","very easy","maybe","maybe","some of them","some of them","no","maybe","no","no",1970-01-01,"11:37:59"
"99",21,"male","united states","il","no","no","yes","often","more than 1000","no","no","no","yes","no","no","no","don't know","yes","no","some of them","some of them","no","yes","no","yes",1970-01-01,"11:37:59"
"100",21,"male","united kingdom","na","no","yes","no","never","44372","no","no","no","no","no","no","yes","somewhat easy","maybe","no","some of them","some of them","no","maybe","don't know","no",1970-01-01,"11:37:59"
"101",21,"male","united kingdom","na","no","no","yes","sometimes","more than 1000","no","no","don't know","no","no","don't know","don't know","don't know","maybe","no","some of them","no","no","no","don't know","no",1970-01-01,"11:38:03"
"102",22,"male","united states","tx","no","yes","yes","often","44372","no","yes","no","yes","no","no","yes","very difficult","maybe","no","no","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"103",22,"male","austria","na","no","no","no","na","44372","yes","yes","don't know","no","don't know","no","don't know","somewhat easy","no","no","some of them","some of them","no","no","don't know","no",1970-01-01,"11:37:58"
"104",22,"male","india","na","no","no","yes","never","more than 1000","no","yes","don't know","not sure","no","no","don't know","very difficult","yes","maybe","no","no","maybe","maybe","no","no",1970-01-01,"11:37:58"
"105",22,"male","sweden","na","no","no","no","na","44372","no","yes","don't know","no","no","no","don't know","don't know","no","no","some of them","yes","maybe","maybe","no","no",1970-01-01,"11:37:58"
"106",22,"male","australia","na","yes","yes","yes","sometimes","44372","yes","yes","don't know","not sure","yes","yes","don't know","somewhat easy","maybe","no","some of them","yes","no","yes","no","yes",1970-01-01,"11:37:58"
"107",22,"female","united states","ny","no","yes","yes","often","more than 1000","no","yes","yes","yes","yes","yes","yes","somewhat easy","maybe","no","no","some of them","no","no","yes","yes",1970-01-01,"11:37:58"
"108",22,"male","united states","ca","no","no","no","sometimes","more than 1000","no","yes","don't know","no","don't know","don't know","don't know","don't know","maybe","no","some of them","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"109",22,"female","united states","wa","no","no","no","na","more than 1000","no","yes","yes","no","yes","yes","yes","somewhat easy","no","no","no","some of them","no","no","yes","no",1970-01-01,"11:37:58"
"110",22,"male","brazil","na","yes","no","no","never","44372","yes","yes","don't know","no","no","no","don't know","somewhat easy","no","no","yes","yes","maybe","no","don't know","no",1970-01-01,"11:37:58"
"111",22,"male","united states","ca","no","no","no","na","more than 1000","no","yes","yes","not sure","yes","don't know","yes","don't know","no","no","some of them","yes","no","maybe","yes","no",1970-01-01,"11:37:58"
"112",22,"female","united states","ca","no","yes","yes","sometimes","500-1000","no","yes","yes","yes","no","don't know","don't know","don't know","no","no","some of them","some of them","no","no","no","yes",1970-01-01,"11:37:58"
"113",22,"male","netherlands","na","no","yes","yes","sometimes","44372","yes","yes","no","not sure","no","don't know","don't know","somewhat easy","no","no","some of them","yes","maybe","yes","yes","no",1970-01-01,"11:37:58"
"114",22,"male","united kingdom","na","no","yes","yes","sometimes","100-500","no","yes","yes","yes","no","no","yes","very easy","no","no","some of them","yes","maybe","yes","yes","no",1970-01-01,"11:37:59"
"115",22,"male","netherlands","na","yes","no","no","never","44201","no","yes","don't know","not sure","no","no","don't know","don't know","no","maybe","some of them","yes","maybe","yes","no","yes",1970-01-01,"11:37:59"
"116",22,"female","netherlands","na","no","no","no","often","44372","no","yes","no","no","no","no","don't know","don't know","no","no","no","some of them","no","yes","don't know","no",1970-01-01,"11:37:59"
"117",22,"male","india","na","yes","no","no","na","44201","yes","yes","don't know","no","don't know","don't know","don't know","very easy","maybe","maybe","some of them","some of them","maybe","maybe","yes","yes",1970-01-01,"11:37:59"
"118",22,"male","india","na","no","no","no","na","26-100","no","yes","no","no","no","no","don't know","don't know","maybe","maybe","some of them","yes","maybe","maybe","don't know","no",1970-01-01,"11:37:59"
"119",22,"female","united states","wa","no","yes","yes","sometimes","more than 1000","no","yes","don't know","not sure","don't know","don't know","don't know","very difficult","yes","maybe","some of them","some of them","no","maybe","no","yes",1970-01-01,"11:37:59"
"120",22,"female","united states","ca","no","yes","yes","often","more than 1000","no","yes","don't know","not sure","no","don't know","don't know","don't know","yes","yes","no","no","no","no","don't know","no",1970-01-01,"11:37:59"
"121",23,"male","united kingdom","na","na","no","yes","sometimes","26-100","yes","yes","don't know","no","don't know","don't know","don't know","very easy","maybe","no","some of them","no","maybe","maybe","no","no",1970-01-01,"00:33:34"
"122",23,"female","australia","na","no","yes","yes","often","44201","yes","yes","no","not sure","no","no","don't know","very easy","no","no","some of them","yes","no","maybe","yes","no",1970-01-01,"11:37:58"
"123",23,"unknown","united states","ma","no","no","no","rarely","more than 1000","no","yes","yes","yes","no","no","yes","somewhat difficult","maybe","no","yes","yes","no","no","no","no",1970-01-01,"11:37:58"
"124",23,"male","united kingdom","na","no","no","no","never","26-100","no","yes","yes","not sure","yes","don't know","don't know","very easy","no","no","some of them","yes","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"125",23,"male","united states","wv","no","no","no","sometimes","44372","no","no","no","no","no","no","no","somewhat easy","yes","yes","no","no","no","no","no","no",1970-01-01,"11:37:58"
"126",23,"male","ireland","na","yes","yes","no","sometimes","44201","no","yes","no","no","no","no","don't know","very difficult","yes","no","no","no","no","maybe","no","no",1970-01-01,"11:37:58"
"127",23,"female","united states","nc","no","no","no","na","44372","no","yes","don't know","no","no","don't know","don't know","don't know","maybe","maybe","some of them","yes","no","maybe","yes","no",1970-01-01,"11:37:58"
"128",23,"male","united kingdom","na","no","yes","no","na","44201","yes","yes","don't know","no","no","no","don't know","don't know","no","no","some of them","yes","maybe","yes","don't know","no",1970-01-01,"11:37:58"
"129",23,"male","united states","pa","no","no","no","never","26-100","no","yes","don't know","not sure","don't know","don't know","don't know","don't know","no","no","no","yes","no","yes","yes","no",1970-01-01,"11:37:58"
"130",23,"male","united states","al","no","yes","yes","sometimes","26-100","yes","no","don't know","no","no","don't know","yes","somewhat easy","maybe","no","some of them","some of them","no","yes","yes","no",1970-01-01,"11:37:58"
"131",23,"female","united kingdom","na","no","no","yes","sometimes","44372","no","yes","don't know","not sure","don't know","don't know","don't know","don't know","maybe","maybe","some of them","some of them","no","maybe","yes","no",1970-01-01,"11:37:58"
"132",23,"female","united states","mn","no","yes","yes","never","100-500","no","no","yes","no","don't know","don't know","yes","don't know","no","no","some of them","yes","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"133",23,"male","united states","pa","no","yes","no","sometimes","100-500","no","yes","don't know","no","no","don't know","don't know","don't know","maybe","no","some of them","no","no","maybe","no","no",1970-01-01,"11:37:58"
"134",23,"female","united states","ny","no","no","yes","sometimes","more than 1000","no","yes","yes","yes","yes","yes","don't know","don't know","no","no","some of them","some of them","no","no","yes","no",1970-01-01,"11:37:58"
"135",23,"male","united states","al","no","yes","yes","sometimes","100-500","no","no","don't know","no","no","no","don't know","don't know","no","no","yes","yes","maybe","yes","don't know","no",1970-01-01,"11:37:58"
"136",23,"male","united states","ca","no","no","no","na","more than 1000","no","yes","don't know","no","no","don't know","don't know","don't know","no","no","some of them","yes","no","maybe","no","no",1970-01-01,"11:37:58"
"137",23,"male","india","na","no","no","no","na","44372","no","yes","no","no","no","no","don't know","don't know","no","no","some of them","yes","maybe","maybe","no","no",1970-01-01,"11:37:58"
"138",23,"male","united states","in","no","no","no","na","more than 1000","no","no","yes","no","no","no","don't know","don't know","no","no","yes","no","no","yes","don't know","no",1970-01-01,"11:37:58"
"139",23,"female","united states","ma","no","no","yes","sometimes","26-100","no","yes","yes","yes","no","don't know","don't know","don't know","maybe","no","some of them","no","no","maybe","don't know","no",1970-01-01,"11:37:58"
"140",23,"male","canada","na","no","yes","yes","sometimes","44372","no","yes","yes","yes","no","no","yes","very easy","no","no","yes","yes","no","no","yes","no",1970-01-01,"11:37:58"
"141",23,"male","germany","na","yes","yes","yes","often","26-100","yes","yes","don't know","no","don't know","don't know","don't know","don't know","no","maybe","yes","yes","maybe","yes","don't know","no",1970-01-01,"11:37:58"
"142",23,"male","united states","va","no","no","no","never","26-100","no","no","don't know","not sure","don't know","don't know","don't know","don't know","no","no","yes","yes","maybe","yes","yes","no",1970-01-01,"11:37:58"
"143",23,"female","united states","ny","no","yes","yes","often","more than 1000","no","yes","yes","not sure","don't know","no","don't know","don't know","maybe","no","some of them","some of them","no","no","yes","yes",1970-01-01,"11:37:58"
"144",23,"female","united states","tx","no","no","no","na","more than 1000","no","no","don't know","not sure","don't know","don't know","yes","don't know","maybe","maybe","some of them","some of them","no","no","don't know","no",1970-01-01,"11:37:58"
"145",23,"male","sweden","na","no","no","no","rarely","44372","no","yes","don't know","no","no","don't know","don't know","very easy","no","no","some of them","yes","maybe","maybe","yes","no",1970-01-01,"11:37:58"
"146",23,"unknown","united states","ca","no","yes","yes","rarely","44201","no","yes","no","yes","no","no","don't know","don't know","maybe","no","some of them","yes","no","no","yes","no",1970-01-01,"11:37:58"
"147",23,"male","united states","ri","no","no","no","na","26-100","no","yes","don't know","no","don't know","no","don't know","don't know","no","no","yes","yes","no","maybe","don't know","no",1970-01-01,"11:37:58"
"148",23,"male","united states","pa","no","no","no","rarely","100-500","no","yes","yes","not sure","don't know","don't know","don't know","don't know","no","no","some of them","some of them","no","no","yes","no",1970-01-01,"11:37:58"
"149",23,"female","united states","ca","no","yes","yes","sometimes","more than 1000","no","yes","yes","yes","yes","yes","yes","somewhat easy","yes","maybe","no","no","no","no","don't know","no",1970-01-01,"11:37:59"
